Lig100/out.pdbqt:REMARK VINA RESULT:      -5.8      0.000      0.000
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.4      3.784      6.009
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.4      1.908      5.018
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.3      2.025      5.018
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.3      1.947      5.348
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.2      1.761      1.938
Lig100/out.pdbqt:REMARK VINA RESULT:      -5.1      2.565      4.817
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.9      3.486      6.014
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.9      4.285      6.924
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.9      2.423      5.281
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.9      1.691      4.839
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.8      2.422      5.696
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.8      2.229      3.163
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.8      3.258      5.968
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.7      2.305      5.385
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.6      2.056      4.999
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.5      2.702      4.352
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.5      2.977      4.551
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.4      2.528      5.091
Lig100/out.pdbqt:REMARK VINA RESULT:      -4.3      2.514      5.066
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.6      0.000      0.000
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.6      3.262      6.063
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.4      2.355      6.135
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.4      1.643      4.415
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.4      1.936      5.102
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.3      2.297      3.039
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.3      3.036      5.892
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.2      1.736      4.722
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.1      2.297      4.160
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.0      2.222      2.497
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.0      7.067      8.989
Lig101/out.pdbqt:REMARK VINA RESULT:      -5.0      3.350      5.891
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.9      3.266      5.946
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.9      4.546      7.022
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.8      3.776      6.654
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.8      1.995      5.072
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.7      2.148      5.485
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.6      4.991      7.412
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.5      6.708      8.831
Lig101/out.pdbqt:REMARK VINA RESULT:      -4.4      2.447      4.662
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.6      0.000      0.000
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.4      3.275      6.136
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.4      3.767      6.256
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.4      2.288      5.718
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.3      2.963      5.909
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.3      3.067      6.933
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.2      1.730      2.191
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.2      2.619      4.710
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.2      3.158      7.058
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.1      2.992      5.880
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.1      2.848      3.861
Lig102/out.pdbqt:REMARK VINA RESULT:      -5.0      6.375      9.802
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.9      6.839      9.404
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.8      3.374      7.180
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.8      2.080      5.328
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.7      2.254      6.419
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.6      2.860      4.315
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.6      4.402      7.296
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.5      2.627      5.026
Lig102/out.pdbqt:REMARK VINA RESULT:      -4.5      2.866      5.890
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.5      0.000      0.000
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.4      1.611      4.382
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.4      1.895      4.879
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.4      2.318      5.327
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.4      2.080      4.584
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.3      2.152      4.587
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.3      1.962      4.570
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.1      2.038      4.705
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.0      2.562      5.901
Lig103/out.pdbqt:REMARK VINA RESULT:      -5.0      1.699      4.547
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.9      2.691      5.192
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.9      1.950      4.552
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.9      2.243      4.632
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.9      3.240      4.836
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.9      2.157      3.130
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.8      2.370      5.014
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.7      3.018      3.744
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.7      2.270      4.722
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.7      3.877      5.297
Lig103/out.pdbqt:REMARK VINA RESULT:      -4.6      3.015      5.337
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.6      0.000      0.000
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.5      2.965      5.914
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.5      2.317      4.714
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.4      1.728      2.349
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.3      2.428      5.991
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.3      2.941      5.338
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.3      1.914      5.456
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.2      3.424      5.489
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.2      2.439      6.529
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.2      2.187      6.564
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.1      2.468      5.101
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.0      2.667      5.240
Lig104/out.pdbqt:REMARK VINA RESULT:      -5.0      8.183     10.936
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.9      2.091      5.277
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.9      2.545      4.555
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.8      2.562      5.104
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.8      2.659      5.321
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.7      2.005      4.673
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.7      2.994      5.768
Lig104/out.pdbqt:REMARK VINA RESULT:      -4.6      7.829     10.807
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.6      0.000      0.000
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.5      2.862      4.855
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.4      2.422      4.815
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.4      1.916      4.388
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.4      2.203      5.832
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.4      2.712      3.490
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.3      2.149      4.737
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.2      2.391      4.320
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.2      2.474      3.031
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.1      2.243      4.594
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.1      2.118      4.463
Lig105/out.pdbqt:REMARK VINA RESULT:      -5.0      2.642      5.512
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.9      3.410      5.473
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.7      2.218      4.502
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.7      2.946      5.586
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.7      3.441      4.822
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.5      3.456      6.162
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.5      2.922      5.349
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.5      3.373      6.129
Lig105/out.pdbqt:REMARK VINA RESULT:      -4.4      2.853      4.807
Lig106/out.pdbqt:REMARK VINA RESULT:      -6.3      0.000      0.000
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.9      4.355      7.667
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.8      1.735      1.778
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.8      3.875      7.001
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.8      2.185      3.272
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.7      3.906      7.186
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.7      5.329      7.156
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.4      2.547      2.740
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.4      3.832      4.803
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.2      4.218      5.639
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.2      3.641      6.610
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.1      5.090      6.198
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.1      3.932      5.347
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.0      3.125      5.136
Lig106/out.pdbqt:REMARK VINA RESULT:      -5.0      5.061      7.158
Lig106/out.pdbqt:REMARK VINA RESULT:      -4.9      4.716      7.384
Lig106/out.pdbqt:REMARK VINA RESULT:      -4.9      5.157      7.052
Lig106/out.pdbqt:REMARK VINA RESULT:      -4.9      5.489      6.817
Lig106/out.pdbqt:REMARK VINA RESULT:      -4.7      4.260      5.635
Lig106/out.pdbqt:REMARK VINA RESULT:      -4.5      4.838      6.114
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.8      0.000      0.000
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.8      2.040      2.751
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.8      2.204      3.651
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.4      5.380      6.389
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.4      4.764      5.532
Lig107/out.pdbqt:REMARK VINA RESULT:      -5.4      4.272      5.377
