,Label,Molecule,TOTAL,INTER,INTRA,RESTR,VDW
10257,45266741,23,-33.635999999999996,-28.838,-4.5969999999999995,0.0,-14.027000000000001
25291,447448,57,-31.122,-28.095,-3.122,0.0,-16.563
41322,24139,92,-30.555999999999997,-28.719,-0.726,0.0,-15.644
10490,44630437,24,-30.484,-28.94,-1.465,0.0,-15.243
682,129878031,2,-30.326999999999998,-25.701,-5.267,0.0,-15.163
26165,445621,59,-29.701999999999998,-25.701999999999998,-2.875,0.0,-14.991
26552,441477,60,-29.694000000000003,-27.146,-2.251,0.0,-13.466
21210,5284365,48,-29.625,-27.386,-2.802,0.0,-18.188
9416,45357367,21,-29.451,-21.573,-8.027000000000001,0.0,-15.790999999999999
19113,6713972,43,-29.406999999999996,-25.129,-4.0569999999999995,0.0,-14.627
29746,439213,67,-29.329,-25.004,-3.332,0.0,-12.698
11840,44119773,27,-29.214000000000002,-25.58,-2.648,0.0,-15.474
344,134695375,1,-29.0,-23.642,-4.316,0.0,-15.863
5662,52944904,13,-28.813000000000002,-23.256,-6.51,0.0,-26.59
39455,82313,88,-28.594,-26.491,-2.142,0.0,-16.055
24397,449462,55,-28.189,-22.891,-4.9830000000000005,0.0,-14.213
40370,29327,90,-27.669,-25.509,-1.044,0.0,-15.588
6488,51351654,15,-27.624000000000002,-26.746,0.002,0.0,-14.558
18345,7067772,41,-27.569000000000003,-25.432,-1.983,0.0,-13.515999999999998
19512,6420074,44,-27.426,-22.933000000000003,-3.375,0.0,-14.17
